record_id,machine_id,production_line,batch_id,shift,product_type,ambient_temperature,humidity,air_pressure,ambient_vibration,motor_temperature,spindle_speed,motor_current,torque,vibration,acoustic_level,bearing_temperature,process_temperature,hydraulic_pressure,flow_rate,coolant_temperature,material_feed_rate,feed_pressure,cycle_time,throughput_rate,production_volume,machine_utilization,resource_utilization,operator_load,power_consumption,energy_per_unit,defect_rate,quality_score,first_pass_yield,fault_event_count,downtime_minutes,maintenance_frequency,production_cost_per_unit,resource_efficiency,production_efficiency,energy_saving_pct,downtime_reduction_pct,cost_reduction_pct,benefit_score,operation_mode
1,M07,Line_A,B0343,Morning,Product_C,24.6579352875236,69.27203719832515,102.33567894535514,0.36619022987383515,52.965525723980384,3076.599085939756,,47.09804259885543,0.9998849693541386,74.6449490629851,72.15440556374456,72.69581669119908,147.1358069706795,69.30262650206201,22.568324350268583,94.06398798795873,82.12163537276754,34.807159820157516,113.73475682366464,125.27099351332727,78.89053393612096,92.70791546268171,56.732791577522995,20.15661849266773,15.912525633987538,2.7556942401127653,91.89075305875755,94.70271878874419,2,25.08105870816925,2.1720292938655783,8.028928385891982,99.0,99.0,9.364688024122037,49.35314799012221,26.199425279679474,68.2602353159878,High_Throughput
2,M20,Line_E,B0593,Afternoon,Product_D,15.953337095399215,59.927354321838,100.05531674232374,0.4724101489945994,48.115477076758474,3145.358704053445,25.715030166312925,61.29610720201609,1.3026270941342786,77.11664129655642,67.37492703748663,67.69728899953732,169.50406406223314,72.20885687646978,20.04663442948082,87.69276197435964,74.18463350358421,28.097116405391795,121.21480076248763,104.79168103198677,70.9634137530639,84.84636670530342,57.412391385627195,20.97803855989113,19.945721124212007,3.0028709752818115,92.52660349801491,93.9330119508968,2,20.400191292334764,2.576074076915424,8.537013410340867,99.0,99.0,3.129223468066911,56.43478386718356,30.016525006789173,68.49189114738584,High_Throughput
3,M15,Line_E,B0205,Afternoon,Product_C,21.76121509788019,44.48707927545031,102.79463639348921,0.4781381768171976,50.35100405752313,2525.5120015764724,27.55325940521082,58.42178392121542,0.8360368393763661,70.85088128054991,68.52985592998743,67.48125482139258,151.49277042281457,61.199957593521326,22.084423157654864,80.52762392927424,82.11742985647362,31.87746753554179,103.17120076788385,112.11931924057707,67.0455725171628,88.80686872337668,66.40986497915108,18.87750772421692,17.12499801267665,4.197931122592936,88.20399491756659,91.55924159683408,0,11.608596532436973,2.3570314952305447,7.372440473760868,99.0,99.0,6.433856157217097,61.53985888749068,33.41266277096113,68.83723014550739,Balanced_Production
4,M11,Line_B,B0993,Morning,Product_A,21.9735283733863,59.022870046077756,98.25885864976604,0.41776021584611367,55.41384811937855,3475.5012884075004,27.879475730763687,55.86570794223675,1.5143285780969495,74.75219979364682,68.13809570653937,74.29308258441787,164.8736916982685,75.0,16.727346420200085,67.99149848313245,77.70438647194203,35.333957795082895,121.5514248624305,104.8857196172471,66.65852742302047,87.5355599877891,63.339142904382044,22.53556995840869,20.0,3.720499122987499,88.98121930901986,93.49381486042986,3,25.54277834133277,2.8401245680517615,8.622624800611355,99.0,99.0,3.2847826057942635,43.94870823697508,34.69969392672527,67.07475448768061,Balanced_Production
5,M08,Line_E,B0961,Night,Product_C,20.595577569847606,54.66565358752203,99.21760548465933,0.2835551142182955,48.65594402890362,1968.5069117496419,17.538343801389352,49.31744590356557,1.3218124967245495,70.21788319171307,68.73658638818736,78.47991087610278,167.03602315295018,58.73921547886812,19.49410985285596,60.29865258529904,77.17927480920665,31.696253218335414,99.4707646979076,100.68641818920517,73.66586602186707,87.91375924569944,59.663647875033035,16.261477531622905,15.823975926565895,3.2023486260608376,89.60179423844808,94.32806931669948,3,19.75918082791662,3.4105196494173287,7.521289060157988,99.0,99.0,12.958236834648297,52.02508440614187,31.553079322780924,69.08410877296582,Precision_Quality
6,M07,Line_E,B0892,Night,Product_D,25.739976861921168,44.32963114618258,100.65850426426567,0.7209465126284728,51.01317046683483,2690.6350167887686,19.915140676661782,45.3815420734223,1.2533554180210909,73.28394612763189,68.02719044480193,73.6794432227082,177.83867335140425,64.82995605271057,22.28550825516311,69.01228404007693,68.35901174712428,37.57326312718626,107.54871196566378,98.56138887493535,64.11513167053174,83.2541044728309,65.77315905287075,19.897367804902444,20.0,3.9246561294022815,88.76355538537447,92.86902261635325,4,26.204420963081276,2.970086638075018,9.23576148084871,99.0,99.0,2.2259972905610033,43.22419952466444,28.608653963044976,66.20318776214062,Energy_Efficient
7,M19,Line_A,B1000,Night,Product_A,30.222360082742,43.25599907072883,100.77960862160826,0.30032489153800673,,2795.2468033471873,19.15482578449581,52.7309586564622,1.4454912046708728,72.98599347616617,69.89052587438789,83.34080747458454,170.64133076835614,71.77061213706473,21.296303367471516,96.11996908730649,89.05616508848877,36.82960858897361,111.07496913507288,98.66009869615792,69.39493616395447,88.56607266638072,77.52746169725768,19.473715841510376,20.0,4.030685515194917,89.56454448885492,93.4711508246195,2,19.22256788296558,1.7023667054489298,8.31897219730917,99.0,99.0,6.104270045409706,48.10227359587353,27.737968181776022,67.32012487959845,Precision_Quality
8,M11,Line_C,B0077,Morning,Product_A,25.98343164239342,64.03355990154955,102.81985466834057,0.517099754559963,57.99233353430575,2724.679446026533,27.139316256105285,52.16983775802345,0.8974916712466987,72.49908492785485,66.34808978959946,74.46361974952958,141.4326452833459,58.19620298072236,17.89700254643564,88.75699055999358,78.03888820193875,33.88176725026661,114.31324386508246,128.0080093264271,63.88173680129863,81.19735970384515,67.35387274494015,19.19336263955808,15.20495527828797,3.6578539757849944,87.47102133188756,92.60608767203301,3,25.08609452706988,2.0073044105929814,7.484113945380222,99.0,99.0,9.446337166511508,43.99571813193192,27.02990524726867,66.89906815511995,Balanced_Production
9,M11,Line_E,B0550,Night,Product_A,26.523130914493642,68.28910104179367,102.68495252472245,0.3751388356558655,45.20718905536421,2600.00977036122,20.986297748717888,50.241687082310314,0.8358962000276888,70.85639668339759,66.66079604063864,86.1868760287488,182.56784000657336,64.92134058327636,22.408038362542488,82.86417359192593,68.83972065160889,30.365124293088183,109.39089024849649,99.5689298796564,67.63882067793834,85.98681014237147,91.30857819178333,18.409659257205696,18.470217663241606,3.586026396773448,88.61919751821398,93.61520628168238,2,20.618486861761703,2.438198636428901,8.3039559929408,98.6962274843016,99.0,2.0,59.41975149295273,28.29367911906536,67.6479780967371,Balanced_Production
10,M04,Line_B,B0707,Afternoon,Product_A,22.01720698735585,43.52305697887246,99.05035748621879,0.2688856214555079,54.241586294084385,2412.4687627547173,26.053836100241693,,1.880110933187908,76.7511467253594,71.67124860291213,84.15370563470604,148.49317286288831,66.54438620854982,23.707234448272644,60.60068781003672,81.88709790288405,32.59525481723632,107.49006877756459,121.41288141604065,63.24522031735327,80.45280590863213,39.92020119887342,19.142778619735775,15.948035511936537,4.260542399260487,85.42635001163679,92.41007686582988,2,22.473496185656277,2.3367218181336873,7.892054561724291,99.0,99.0,7.575780561353333,43.86006104777255,25.421275992078034,66.06692822267325,Energy_Efficient
